"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,474.978537499457,410.44,439.56,439.48,465.4,437.5,444.268,426.12,455.38,418.9,428.2,418.12,453.2,361.7,423.98,NA,423.09,638.645002396917,426.984071258262,205.810299976077,5110.75,44.0000203916941,12.0000169679695,23.9999283127276,-1.99992878479951,0.999987677132659,0,0,0,0,1,4.24995330649557,470.253458333333,474.978537499457
"DREWBREES","Drew Brees","QB","NO",2,437.712762268225,393.98,403.8,410.02,402,404.08,404.39,391.92,408.22,386.32,374.1,374,410.5,376.58,404.22,NA,388.56,638.4,421.601508134058,212.999962203179,4992.81892723428,38.1300403129407,14.2700228311753,24,44.4951987701179,1.00001778405527,0,0,0,0,1,2.45998186667119,439.020041666667,437.712762268225
"AARONRODGERS","Aaron Rodgers","QB","GB",3,434.598267703782,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,359,400.08,NA,364.24,549.025,361.8,184.500033733592,4490.25,35.4999451108401,9.95004059831333,48.5000099386076,222.811853413605,1.97125525076647,0,0,0,0,0.8,3.25,435.394083333333,434.598267703782
"ANDREWLUCK","Andrew Luck","QB","IND",4,393.520654466188,405.71,370.78,357.32,337.94,341.46,354.518,355.8,360.5,364.36,367.8,362.7,368,340.88,362,NA,328.08,595.500081013536,365.607928693539,229.594856914699,4324.87494275679,27.5000151213562,11.9999398131137,61.0000461575133,319.675,3.00004523446496,0,0,0,0,1,3.0677293468423,396.282041666667,393.520654466188
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,380.912672160198,243.16,384.82,383.68,344.04,359.3,361.09,345.36,323.66,343.68,342.8,340.48,340.4,327.34,345.58,NA,330.42,639.199996398589,387.15,253.999969963407,4732.25,31.4999614388658,17.1300520070585,31.7500485522183,84.481097307115,1.49999789903008,0,0,0,0,1,3.50001576238563,378.245791666667,380.912672160198
"NICKFOLES","Nick Foles","QB","PHI",6,380.755569757857,312.94,338.7,378.5,341.06,354.64,354.512,366.1,373.7,354.74,349.4,348.26,351,325.32,353.98,NA,343.86,524.37,333.060847378394,186.281272629141,4121.25,28.9999533496761,11.5,63.0000056272531,250.000001520958,2.49994943892894,0,0,0,0,0.8,3.69997766305303,381.641375,380.755569757857
"MATTRYAN","Matt Ryan","QB","ATL",7,370.204105239093,285.11,361.98,352.24,314.48,338.48,340.122,306.96,326.8,333.72,312.4,317.94,315.5,341.62,334.48,NA,329.25,633.047286344224,416.025361206991,216.25,4629.825,29.4999920109865,14.6499865100522,23.5000166088491,72.5902078007088,0.999914968849668,0,0,0,0,0.7,2.99997911076911,368.788291666667,370.204105239093
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",8,369.080280440385,340.94,359.32,306.76,345.06,340.2,331.972,322.96,330.68,337.52,355.3,331.08,345,343.2,324.84,NA,307.32,495.25,306.5,190,3758,23.0324490544669,12.2845344860693,94.4999141977308,563,3.49994258726794,0,0,0,0,1.15,3.91014959712054,367.47225,369.080280440385
"CAMNEWTON","Cam Newton","QB","CAR",9,368.28183670103,292.55,324.94,334.1,328.26,325.62,326.764,350.76,335,358.02,339.4,345.76,359.9,330.82,347.44,NA,296.06,483.091252362908,292.499961545242,188.999947022543,3473.25,22.3999573251865,13.5000390539825,107.000018408195,585.7,5.49993040562475,0,0,0,0,0.6,2.65579078601767,366.984791666667,368.28183670103
"TOMBRADY","Tom Brady","QB","NE",10,367.651836433791,237.64,353.62,365.96,313.38,NA,337.838,340.7,314.44,325.82,346.6,328.04,355.1,312.42,340.68,NA,336.64,629.349996428457,389.75,235.700011916037,4461.5,29.9999495685954,11.4728018786432,28.5000443244026,31.3539583759142,1.05000515912622,0,0,0,0,0,3.49996366636031,368.034716233766,367.651836433791
